0.01166	0.04889
-0.00720	-0.00607
-0.01852	-0.04761
-0.00558	0.05750
-0.02698	-0.02856
-0.00937	-0.02182
0.01398	0.04288
-0.05438	-0.07397
-0.00217	0.02579
0.01877	0.03708
-0.07834	-0.08438
0.03323	0.06216
0.02908	-0.01334
-0.05322	-0.06491
0.06796	0.10519
-0.01385	-0.05148
-0.00549	-0.01282
0.11194	0.10242
-0.04044	-0.07532
0.05048	0.06339
0.09308	0.05740
-0.05469	-0.07224
0.11603	0.11850
0.04922	-0.01038
-0.03397	-0.02448
0.14566	0.13235
-0.00409	-0.06909
0.02954	0.02994
0.13315	0.08047
-0.03995	-0.06760
0.10025	0.09665
0.08612	-0.01538
-0.03003	-0.03683
0.14719	0.13120
0.02496	-0.07425
0.00583	0.03693
0.13489	0.10052
-0.00882	-0.09900
0.07339	0.09763
0.07327	0.02496
-0.02823	-0.05862
0.11749	0.13300
0.00104	-0.05286
-0.01312	0.00214
0.11346	0.09796
-0.06058	-0.09732
0.01685	0.07382
0.05627	0.03818
-0.08875	-0.07922
0.05560	0.11551
-0.01071	-0.02960
-0.07916	-0.02255
0.05701	0.11380
-0.08240	-0.06317
-0.04517	0.03751
0.03238	0.05353
-0.12115	-0.05753
-0.00922	0.09360
-0.01422	-0.00513
-0.11060	-0.02682
0.02786	0.07568
-0.05389	-0.07339
-0.07321	0.01175
0.03241	0.03741
-0.05853	-0.07605
0.01147	0.03723
0.02707	-0.04477
-0.05426	-0.05338
0.05023	0.04025
-0.00842	-0.10223
-0.01941	-0.00720
0.06897	0.00311
-0.03693	-0.12332
0.00250	0.04453
0.02042	-0.03540
-0.03940	-0.08542
0.06021	0.05804
-0.00668	-0.09241
-0.01086	-0.02048
0.06320	0.05322
-0.05875	-0.10168
0.02887	0.04706
0.06015	0.00568
-0.04791	-0.08878
0.06815	0.07391
0.00107	-0.04752
-0.03433	-0.03314
0.08694	0.07108
-0.03384	-0.07968
0.01282	0.01083
0.06229	0.01498
-0.07596	-0.07959
0.03262	0.03632
0.01880	-0.04852
-0.05768	-0.04047
0.05801	0.04288
-0.02798	-0.08054
-0.04642	0.01147
0.03171	0.03482
-0.05450	-0.05176
